City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Louis,SN,16.3333,-15.0,70.99,20,26,11.7,scattered clouds
1,Albany,US,42.6001,-73.9662,9.0,50,3,3.0,clear sky
2,Mayo,US,38.8876,-76.5119,30.99,51,90,11.5,overcast clouds
3,Tiksi,RU,71.6872,128.8694,-30.53,85,100,5.5,overcast clouds
4,Kaitangata,NZ,-46.2817,169.8464,57.99,72,24,8.01,few clouds
5,Rikitea,PF,-23.1203,-134.9692,80.47,70,31,9.06,scattered clouds
6,Quelimane,MZ,-17.8786,36.8883,75.92,91,99,1.25,overcast clouds
7,Slave Lake,CA,55.2834,-114.769,1.4,78,1,5.75,clear sky
8,San Jose,US,37.3394,-121.895,48.99,71,40,3.44,scattered clouds
9,Haverhill,US,42.7762,-71.0773,12.0,61,1,10.36,clear sky
10,Ushuaia,AR,-54.8,-68.3,42.8,75,40,17.27,scattered clouds
11,Skala,PL,50.2305,19.8536,30.0,93,75,1.14,light snow
12,Carauari,BR,-4.8828,-66.8958,74.14,95,100,2.33,overcast clouds
13,Hilo,US,19.7297,-155.09,75.2,73,90,6.91,moderate rain
14,Mataura,NZ,-46.1927,168.8643,70.48,36,0,0.94,clear sky
15,Srednekolymsk,RU,67.45,153.6833,-31.65,84,99,1.74,overcast clouds
16,Chokurdakh,RU,70.6333,147.9167,-26.84,85,100,8.88,overcast clouds
17,Bima,ID,-8.4667,118.7167,81.48,79,100,5.12,heavy intensity rain
18,Punta Arenas,CL,-53.15,-70.9167,46.4,81,40,20.71,scattered clouds
19,Severo-Kurilsk,RU,50.6789,156.125,24.51,90,100,16.04,overcast clouds
20,Pacific Grove,US,36.6177,-121.9166,48.0,87,1,3.44,clear sky
21,Cape Town,ZA,-33.9258,18.4232,70.0,94,75,3.44,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,61.0,91,71,4.16,broken clouds
23,Butaritari,KI,3.0707,172.7902,80.46,78,99,15.39,light rain
24,Dikson,RU,73.5069,80.5464,-33.39,84,97,7.94,overcast clouds
25,Nyurba,RU,63.2842,118.3319,-42.27,78,100,2.59,overcast clouds
26,Kavaratti,IN,10.5669,72.642,80.24,73,2,11.7,clear sky
27,East London,ZA,-33.0153,27.9116,69.3,72,35,2.86,scattered clouds
28,Ahipara,NZ,-35.1667,173.1667,67.82,66,71,3.94,broken clouds
29,Saint George,US,37.1041,-113.5841,39.99,93,90,9.22,overcast clouds
30,Atuona,PF,-9.8,-139.0333,78.46,80,11,17.34,few clouds
31,Salinopolis,BR,-0.6136,-47.3561,80.56,80,98,13.67,light rain
32,Tacuarembo,UY,-31.7333,-55.9833,70.59,73,13,3.6,few clouds
33,Tarime,TZ,-1.35,34.3667,61.12,78,12,4.43,few clouds
34,Beloha,MG,-25.1667,45.05,76.37,79,0,5.37,clear sky
35,Puerto Ayora,EC,-0.7393,-90.3518,78.01,95,43,5.99,light rain
36,Ilulissat,GL,69.2167,-51.1,-0.4,55,0,8.05,clear sky
37,Paita,PE,-5.0892,-81.1144,75.54,74,69,12.82,broken clouds
38,Bengkulu,ID,-3.8004,102.2655,84.69,63,100,2.35,overcast clouds
39,Upernavik,GL,72.7868,-56.1549,-8.73,84,0,10.0,clear sky
40,Qaanaaq,GL,77.484,-69.3632,-13.36,62,0,5.57,clear sky
41,Nabire,ID,-3.3667,135.4833,79.88,77,100,1.59,overcast clouds
42,Harper,LR,4.375,-7.7169,77.83,87,0,5.55,clear sky
43,Saint-Philippe,RE,-21.3585,55.7679,80.6,57,0,5.75,clear sky
44,San Patricio,US,28.017,-97.5169,66.2,77,90,12.66,overcast clouds
45,Busselton,AU,-33.65,115.3333,82.0,44,0,5.01,clear sky
46,Vaini,TO,-21.2,-175.2,80.6,89,90,19.24,light rain
47,Eydhafushi,MV,5.1033,73.0708,80.73,69,0,11.59,clear sky
48,Novobirilyussy,RU,56.9514,90.6661,-15.83,88,100,7.0,overcast clouds
49,Pisco,PE,-13.7,-76.2167,71.6,73,0,6.91,clear sky
50,Kieta,PG,-6.2167,155.6333,86.77,67,73,14.2,light rain
51,Kathmandu,NP,27.7167,85.3167,44.6,81,20,1.88,mist
52,Yellowknife,CA,62.456,-114.3525,-18.0,76,1,5.75,clear sky
53,La Ronge,CA,55.1001,-105.2842,8.6,85,68,3.44,broken clouds
54,Harer,ET,9.3094,42.1258,50.68,75,0,2.37,clear sky
55,Leningradskiy,RU,69.3833,178.4167,-23.6,85,100,7.99,overcast clouds
56,Provost,CA,52.3501,-110.2683,-2.2,92,37,3.44,scattered clouds
57,Bonthe,SL,7.5264,-12.505,77.14,88,0,4.23,clear sky
58,Arvika,SE,59.6553,12.5852,5.0,100,0,4.61,clear sky
59,Narsaq,GL,60.9167,-46.05,42.8,33,75,26.46,broken clouds
60,Honiara,SB,-9.4333,159.95,83.98,78,64,8.68,broken clouds
61,Cidreira,BR,-30.1811,-50.2056,75.16,89,39,4.92,scattered clouds
62,Neftcala,AZ,39.3742,49.2472,45.21,87,100,8.39,overcast clouds
63,Effium,NG,6.6292,8.0593,71.74,94,55,3.22,broken clouds
64,Chapais,CA,49.7834,-74.8492,-0.4,85,90,9.22,light snow
65,Salaga,GH,8.5508,-0.5188,76.39,76,19,2.95,few clouds
66,Lagoa,PT,39.05,-27.9833,59.7,82,97,19.08,overcast clouds
67,Medvedka,RU,61.1629,46.387,19.24,97,100,5.97,light snow
68,Wajir,KE,1.7471,40.0573,72.23,79,46,12.59,scattered clouds
69,Brae,GB,60.3964,-1.353,33.8,75,29,9.22,scattered clouds
70,Padang,ID,-0.9492,100.3543,80.6,78,40,4.61,scattered clouds
71,Port Alfred,ZA,-33.5906,26.891,64.99,82,6,6.93,clear sky
72,Bambanglipuro,ID,-7.95,110.2833,82.67,72,100,4.23,overcast clouds
73,Kodiak,US,57.79,-152.4072,35.6,55,1,16.11,clear sky
74,Bousso,TD,10.4795,16.7117,70.11,21,0,7.63,clear sky
75,Barrow,US,71.2906,-156.7887,-11.2,77,90,9.22,overcast clouds
76,Georgetown,MY,5.4112,100.3354,84.2,65,20,8.05,few clouds
77,Nikolskoye,RU,59.7035,30.7861,30.2,93,90,8.95,light snow
78,Sakaiminato,JP,35.55,133.2333,44.6,53,75,12.66,broken clouds
79,Yoichi,JP,43.2039,140.7703,32.0,86,75,23.02,light snow
80,Santa Barbara,US,34.7333,-120.0343,46.99,93,75,1.01,broken clouds
81,Cherskiy,RU,68.75,161.3,-33.59,83,6,2.84,clear sky
82,Maniitsoq,GL,65.4167,-52.9,19.78,76,0,4.85,clear sky
83,Mahebourg,MU,-20.4081,57.7,78.8,89,40,8.05,scattered clouds
84,Claudio,BR,-20.4433,-44.7658,65.91,85,100,2.26,overcast clouds
85,Bajmok,RS,45.9688,19.4243,40.6,91,100,7.14,overcast clouds
86,Sulangan,PH,11.1373,123.7228,79.56,80,87,29.06,overcast clouds
87,Carnarvon,AU,-24.8667,113.6333,105.8,21,0,18.41,clear sky
88,Bluff,NZ,-46.6,168.3333,54.3,72,0,14.85,clear sky
89,Batsfjord,NO,70.6345,29.7185,22.23,95,100,11.72,overcast clouds
90,Salalah,OM,17.0151,54.0924,69.8,64,75,4.61,broken clouds
91,Nacala,MZ,-14.5428,40.6728,77.05,90,99,4.12,light rain
92,Acapulco,MX,16.8634,-99.8901,80.6,83,90,5.75,overcast clouds
93,Thompson,CA,55.7435,-97.8558,10.4,85,90,4.61,light snow
94,Lompoc,US,34.6391,-120.4579,44.6,100,1,2.55,clear sky
95,Gorontalo,ID,0.5412,123.0595,85.24,69,51,4.65,broken clouds
96,Ponta Do Sol,PT,32.6667,-17.1,57.99,76,11,1.99,few clouds
97,Lagdo,CM,9.05,13.7333,68.13,22,0,2.24,clear sky
98,Chirala,IN,15.8167,80.35,75.29,76,78,3.96,broken clouds
99,Tautira,PF,-17.7333,-149.15,82.4,69,75,13.8,broken clouds
100,Khandyga,RU,62.6667,135.6,-45.0,75,87,1.12,overcast clouds
101,Puerto Penasco,MX,31.3167,-113.5333,59.0,77,38,1.01,scattered clouds
102,Morden,CA,49.1919,-98.1014,21.2,79,100,13.8,overcast clouds
103,Coihaique,CL,-45.5752,-72.0662,46.4,76,0,2.3,clear sky
104,Sistranda,NO,63.7256,8.834,35.6,75,40,19.57,scattered clouds
105,Monrovia,LR,6.3005,-10.7969,78.46,87,3,5.12,clear sky
106,River Falls,US,44.8614,-92.6238,24.01,66,100,1.01,overcast clouds
107,Dwarka,IN,22.2394,68.9678,66.42,40,2,12.44,clear sky
108,Iqaluit,CA,63.7506,-68.5145,-13.0,70,1,27.63,snow
109,Nanortalik,GL,60.1432,-45.2371,31.75,92,96,8.03,overcast clouds
110,Bumba,CD,2.1833,22.4667,70.97,92,76,1.63,broken clouds
111,Lala,PH,7.9745,123.7458,85.62,59,91,10.02,overcast clouds
112,Arlit,NE,18.7369,7.3853,55.11,33,0,2.15,clear sky
113,Dekar,BW,-21.5333,21.9333,67.44,88,85,3.56,overcast clouds
114,Ancud,CL,-41.8697,-73.8203,54.0,71,0,16.11,clear sky
